cover,title,author,publisher,isbn,timestamp,activity,library,details
https://img2.od-cdn.com/ImageType-100/0111-1/{9B739A94-5608-4846-AFD9-98F0B60BFF84}IMG100.JPG,The Correspondent,Virginia Evans,Crown,9780593798447,"May 31, 2026 14:09",Borrowed,LION: Libraries Online, 14 days 
https://img2.od-cdn.com/ImageType-100/2390-1/{F1F454B1-C4B5-46AD-9A1B-2A08DCDF16BD}IMG100.JPG,The Things We Leave Unfinished,Rebecca Yarros,"Entangled Publishing, LLC",9781682815885,"May 31, 2026 12:33",Hold expired,LION: Libraries Online
https://img3.od-cdn.com/ImageType-100/0439-1/{7A7A296D-89B9-465C-9A6A-39466244CABE}IMG100.JPG,Theo of Golden,Allen Levi,Atria Books,9781668236536,"May 30, 2026 00:38",Returned,LION: Libraries Online, 4 days  early
https://img3.od-cdn.com/ImageType-100/0111-1/{FD9D53D0-BE97-41B0-BB13-22DC4B329370}IMG100.JPG,Norwegian Wood,Haruki Murakami,Knopf Doubleday Publishing Group,9780307762719,"May 28, 2026 22:35",Placed on hold,LION: Libraries Online
https://img3.od-cdn.com/ImageType-100/0111-1/{A8B50A2F-F2C0-4CF7-9F4F-80BB2272042A}IMG100.JPG,Kafka on the Shore,Haruki Murakami,Knopf Doubleday Publishing Group,9781400044818,"May 28, 2026 22:34",Borrowed,LION: Libraries Online, 14 days 
https://img1.od-cdn.com/ImageType-100/0111-1/{FDE791B0-EDE6-48F1-85E5-922D0DD51F5F}IMG100.JPG,Miss Benson's Beetle,Rachel Joyce,Random House Publishing Group,9780812996715,"May 24, 2026 15:32",Placed on hold,LION: Libraries Online
https://img1.od-cdn.com/ImageType-100/2343-1/{1C0320AC-8762-4A69-ABE3-2F7FD8197959}IMG100.JPG,The Housemaid's Secret,Freida McFadden,Bookouture,9781837901333,"May 23, 2026 00:36",Placed on hold,LION: Libraries Online
https://img3.od-cdn.com/ImageType-100/0111-1/{243DA6CC-DD9C-4452-8D54-BF934B6BE1C4}IMG100.JPG,Yesteryear,Caro Claire Burke,Knopf Doubleday Publishing Group,9780593804223,"May 23, 2026 00:34",Placed on hold,LION: Libraries Online
https://img2.od-cdn.com/ImageType-100/0293-1/{FE3EEE7F-2DDD-4E12-998A-38C5A43B948D}Img100.jpg,The Song of Achilles,Madeline Miller,HarperCollins,9780062115577,"May 23, 2026 00:33",Placed on hold,LION: Libraries Online
https://img2.od-cdn.com/ImageType-100/1191-1/{54A43082-1828-4AB2-8235-E90F5B4A1B98}IMG100.JPG,Outlive,"Peter Attia, MD, Bill Gifford",Books on Tape,9780593664452,"May 20, 2026 20:42",Renewed,LION: Libraries Online, 14 days 
https://img2.od-cdn.com/ImageType-100/1694-1/{9A02D69C-6055-454B-93F2-74DC9B361AAF}IMG100.JPG,Fourth Wing,Rebecca Yarros,"Recorded Books, Inc.",9781705085042,"May 20, 2026 10:44",Borrowed,LION: Libraries Online, 14 days 
https://img3.od-cdn.com/ImageType-100/0439-1/{7A7A296D-89B9-465C-9A6A-39466244CABE}IMG100.JPG,Theo of Golden,Allen Levi,Atria Books,9781668236536,"May 20, 2026 10:43",Borrowed,LION: Libraries Online, 14 days 
https://img3.od-cdn.com/ImageType-100/2390-1/{AA5713CE-436A-4F34-A9DB-18AE192A0E58}IMG100.JPG,Full Measures,Rebecca Yarros,"Entangled Publishing, LLC",9781622664344,"May 19, 2026 22:49",Returned,LION: Libraries Online, 2 days  early
https://img3.od-cdn.com/ImageType-100/0439-1/{7A7A296D-89B9-465C-9A6A-39466244CABE}IMG100.JPG,Theo of Golden,Allen Levi,Atria Books,9781668236536,"May 17, 2026 02:11",Hold expired,LION: Libraries Online
https://img2.od-cdn.com/ImageType-100/1694-1/{9A02D69C-6055-454B-93F2-74DC9B361AAF}IMG100.JPG,Fourth Wing,Rebecca Yarros,"Recorded Books, Inc.",9781705085042,"May 11, 2026 01:38",Hold expired,LION: Libraries Online
