cover,title,author,publisher,isbn,timestamp,activity,library,details
https://img1.od-cdn.com/ImageType-100/0111-1/{68A7410D-85AC-468D-A1BE-5C53CEAAD38F}Img100.jpg,Born to Run,Christopher McDougall,Knopf Doubleday Publishing Group,9780307271914,"March 17, 2023 23:35",Borrowed,LION: Libraries Online
https://img2.od-cdn.com/ImageType-100/0111-1/{9B739A94-5608-4846-AFD9-98F0B60BFF84}IMG100.JPG,The Correspondent,Virginia Evans,Crown,9780593798447,"May 31, 2026 14:09",Borrowed,LION: Libraries Online, 14 days 
https://img3.od-cdn.com/ImageType-100/0439-1/{7A7A296D-89B9-465C-9A6A-39466244CABE}IMG100.JPG,Theo of Golden,Allen Levi,Atria Books,9781668236536,"May 20, 2026 10:43",Borrowed,LION: Libraries Online, 14 days 
https://img3.od-cdn.com/ImageType-100/2390-1/{2E557006-D7B5-4B7D-AC97-7B28A9B430F2}IMG100.JPG,The Great Alone,Kristin Hannah,St. Martin's Publishing Group,9781250165619,"December 08, 2018 03:49",Borrowed,LION: Libraries Online
https://img1.od-cdn.com/ImageType-100/0111-1/{576380E8-5E6C-449B-89EE-59BDFEB865B6}Img100.jpg,Wonder,R. J. Palacio,Random House Children's Books,9780375899881,"November 25, 2018 00:58",Borrowed,LION: Libraries Online
https://img1.od-cdn.com/ImageType-100/0874-1/{8BFB1A0C-E141-4422-9E28-8082F3D051D1}Img100.jpg,Wild Game,Adrienne Brodeur,HarperCollins,9781328519047,"September 17, 2023 15:47",Borrowed,LION: Libraries Online, 14 days 
https://img3.od-cdn.com/ImageType-100/1523-1/{F1C605F5-0A18-4D6F-9528-3BF6723A7CA4}IMG100.JPG,Where the Crawdads Sing,Delia Owens,Penguin Publishing Group,9780735219113,"September 20, 2019 17:50",Borrowed,LION: Libraries Online
https://img3.od-cdn.com/ImageType-100/2363-1/{17249E16-7086-4EC5-8688-C2F9D1B8ED45}IMG100.JPG,The Eternal Wonder,Pearl S. Buck,Open Road Media,9781480439665,"August 09, 2019 23:08",Borrowed,LION: Libraries Online
https://img2.od-cdn.com/ImageType-100/1191-1/{22360B76-2638-4E67-8741-BA745F314A24}Img100.jpg,Educated,Tara Westover,Books on Tape,9780525528067,"May 12, 2020 21:05",Borrowed,LION: Libraries Online, 14 days 
https://img2.od-cdn.com/ImageType-100/4575-1/{2966252C-8DB4-4E67-84F5-4408CECCAA1E}IMG100.JPG,The Tipping Point,Malcolm Gladwell,Hachette Audio,9781594831713,"April 03, 2020 21:08",Returned,LION: Libraries Online, 19 hours  early
https://img3.od-cdn.com/ImageType-100/1191-1/{B606F2D5-1645-44A6-B6C1-3DD4602E3A3A}Img100.jpg,Digital Minimalism,Cal Newport,Books on Tape,9780525643555,"May 01, 2020 01:24",Borrowed,LION: Libraries Online, 14 days 
https://img3.od-cdn.com/ImageType-100/0111-1/{B59A68FA-DDEA-40B3-960C-D5C734FCB132}IMG100.JPG,What I Talk About When I Talk About Running,Haruki Murakami,Knopf Doubleday Publishing Group,9780307269478,"February 24, 2023 00:46",Borrowed,LION: Libraries Online
https://img2.od-cdn.com/ImageType-100/0293-1/{5878894C-3569-4BEB-8DD3-CB9CFD4941E1}IMG100.JPG,A Tree Grows in Brooklyn,Betty Smith,HarperCollins,9780061803024,"June 30, 2025 17:24",Borrowed,LION: Libraries Online, 14 days 


